Category,Country,Customer ID,Order Date,Order ID,Payment Method,Product ID,Return Status,Review,Review Rating,Review Stars,Shipping Method,Table dim,Type Selected,# Customers,# Orders,# Products,Discount,Discount/Unit,Metric Selection,Metric Selection vs,Price,Profit,Profit/Unit,Quantity,Returned Quantity,Shipping Cost,Shipping Cost/Unit,Total Sales
Sports,Canada,7262,10-11-2023 00:00:00,ORDER00001,Credit Card,685,No,1 Stars,1,★☆☆☆☆,Standard,True,Credit Card,1,1,1,0.08,0.08,857.4,1.0,931.97,255.15,255.15,1,3,28.43,28.43,857.41
Electronics,UK,1266,19-06-2023 00:00:00,ORDER00002,PayPal,560,No,5 Stars,5,★★★★★,Next Day,True,PayPal,1,1,1,0.28,0.028,"3,145.0",10.0,436.81,348.64,34.864,10,0,16.19,1.619,3145.03
Electronics,UK,3793,09-12-2023 00:00:00,ORDER00003,Bank Transfer,630,Yes,3 Stars,3,★★★☆☆,Express,True,Bank Transfer,1,1,1,0.08,0.026666667,"2,569.1",3.0,930.82,360.34,120.113333333,3,2,35.6,11.866666667,2569.06
Sports,France,2526,26-08-2023 00:00:00,ORDER00004,Credit Card,193,No,1 Stars,1,★☆☆☆☆,Standard,True,Credit Card,1,1,1,0.18,0.09,19.2,2.0,11.71,5.24,2.62,2,2,27.44,13.72,19.2
Electronics,USA,3355,26-06-2023 00:00:00,ORDER00005,Cash,836,Yes,2 Stars,2,★★☆☆☆,Standard,True,Cash,1,1,1,0.38,0.076,"1,717.8",5.0,554.13,481.85,96.37,5,2,19.41,3.882,1717.8
Clothing,USA,2171,19-07-2023 00:00:00,ORDER00006,Cash,764,No,2 Stars,2,★★☆☆☆,Next Day,True,Cash,1,1,1,0.06,0.006,"7,894.1",10.0,839.8,1557.77,155.777,10,1,9.22,0.922,7894.12
Electronics,UK,8861,03-12-2023 00:00:00,ORDER00007,Cash,708,No,2 Stars,2,★★☆☆☆,Next Day,True,Cash,1,1,1,0.15,0.025,"3,075.6",6.0,603.06,346.77,57.795,6,0,42.81,7.135,3075.61
Home,UK,5045,03-07-2023 00:00:00,ORDER00008,Cash,360,Yes,4 Stars,4,★★★★☆,Standard,True,Cash,1,1,1,0.29,0.058,"3,038.8",5.0,856,600.13,120.026,5,1,7.85,1.57,3038.8
Electronics,UK,5169,19-06-2023 00:00:00,ORDER00009,Credit Card,10,No,4 Stars,4,★★★★☆,Express,True,Credit Card,1,1,1,0.07,0.007777778,"1,620.5",9.0,193.61,425.3,47.255555556,9,5,29.12,3.235555556,1620.52
Clothing,Germany,5765,01-07-2023 00:00:00,ORDER00010,PayPal,724,No,3 Stars,3,★★★☆☆,Express,True,PayPal,1,1,1,0.34,0.056666667,"1,066.3",6.0,269.26,191.83,31.971666667,6,1,27.77,4.628333333,1066.27
Home,France,5161,26-03-2023 00:00:00,ORDER00011,Bank Transfer,278,Yes,2 Stars,2,★★☆☆☆,Next Day,True,Bank Transfer,1,1,1,0.28,0.046666667,440.5,6.0,101.97,72.68,12.113333333,6,1,42.17,7.028333333,440.51
Clothing,USA,5469,10-04-2023 00:00:00,ORDER00012,PayPal,755,No,1 Stars,1,★☆☆☆☆,Next Day,True,PayPal,1,1,1,0.18,0.036,432.8,5.0,105.55,113.16,22.632,5,0,31.71,6.342,432.76
Sports,UK,5179,11-02-2023 00:00:00,ORDER00013,Bank Transfer,805,No,2 Stars,2,★★☆☆☆,Next Day,True,Bank Transfer,1,1,1,0.29,0.0725,"2,010.4",4.0,707.88,433.15,108.2875,4,5,47.11,11.7775,2010.38
Home,Canada,3144,20-05-2023 00:00:00,ORDER00014,PayPal,600,Yes,5 Stars,5,★★★★★,Next Day,True,PayPal,1,1,1,0.34,0.113333333,192.2,3.0,97.09,43.31,14.436666667,3,4,39.22,13.073333333,192.24
Sports,Germany,9762,22-05-2023 00:00:00,ORDER00015,Credit Card,71,Yes,5 Stars,5,★★★★★,Standard,True,Credit Card,1,1,1,0.17,0.085,"1,230.1",2.0,741,158.46,79.23,2,2,34.73,17.365,1230.06
